PONumber,Date Submitted,ASN Done,ASN Date Submitted,Order Date

Date Submitted,ASN Done?,ASN Date Submitted,Order Date
5/3/2021 12:50:56 PM,Yes,05/05/2021 05:29:16 PM,2021-05-03
7369056312,4/5/2021 12:37:40 PM,Yes,04/06/2021 07:47:47 PM,2021-04-05
2169166803,4/5/2021 12:37:38 PM,Yes,04/06/2021 07:49:48 PM,2021-04-05
5669216303,4/5/2021 12:37:36 PM,Yes,04/06/2021 07:51:33 PM,2021-04-05
5869865029,4/5/2021 12:37:35 PM,Yes,04/06/2021 07:53:59 PM,2021-04-05
4223847445,4/5/2021 12:37:33 PM,Yes,04/06/2021 07:55:55 PM,2021-04-05
2469245553,4/5/2021 12:37:31 PM,Yes,04/06/2021 08:04:26 PM,2021-04-05
6723817889,4/5/2021 12:37:30 PM,Yes,04/06/2021 08:06:38 PM,2021-04-05
6970474302,4/5/2021 12:37:28 PM,Yes,04/06/2021 08:08:25 PM,2021-04-05
3770074998,4/5/2021 12:37:26 PM,Yes,04/06/2021 08:10:02 PM,2021-04-05
3919655302,4/5/2021 12:37:25 PM,Yes,04/06/2021 08:11:45 PM,2021-04-05
1420773910,4/5/2021 12:37:22 PM,Yes,04/06/2021 08:12:43 PM,2021-04-05
6270094624,4/5/2021 12:37:21 PM,Yes,04/06/2021 08:14:09 PM,2021-04-05
5924205698,4/5/2021 12:37:19 PM,Yes,04/06/2021 08:16:50 PM,2021-04-05
6970094095,4/5/2021 12:37:17 PM,Yes,04/06/2021 08:18:12 PM,2021-04-05
2369236132,4/5/2021 12:37:15 PM,Yes,04/06/2021 08:19:37 PM,2021-04-05
4870054952,4/5/2021 12:37:14 PM,Yes,04/06/2021 08:21:07 PM,2021-04-05
6820664099,4/5/2021 12:37:12 PM,Yes,04/07/2021 05:59:21 PM,2021-04-05
3769625415,4/5/2021 12:37:10 PM,Yes,04/07/2021 06:00:53 PM,2021-04-05
6470903769,4/5/2021 12:37:09 PM,Yes,04/07/2021 06:02:36 PM,2021-04-05
4269625328,4/5/2021 12:37:07 PM,Yes,04/07/2021 06:03:36 PM,2021-04-05
6168958211,4/5/2021 12:37:05 PM,Yes,04/07/2021 06:04:59 PM,2021-04-05
2421543177,4/5/2021 12:37:03 PM,Yes,04/07/2021 06:06:03 PM,2021-04-05
6319225985,4/5/2021 12:37:01 PM,Yes,04/07/2021 06:07:22 PM,2021-04-05
6469225700,4/5/2021 12:37:00 PM,Yes,04/07/2021 06:08:33 PM,2021-04-05
5871432821,4/5/2021 12:36:57 PM,Yes,04/07/2021 06:09:43 PM,2021-04-05
6122401899,4/5/2021 12:15:16 PM,Yes,04/07/2021 06:12:09 PM,2021-04-05
2769605486,4/5/2021 11:35:08 AM,Yes,04/07/2021 06:13:37 PM,2021-04-05
4669595403,3/29/2021 12:59:17 PM,Yes,03/30/2021 06:26:17 PM,2021-03-29
9823638303,3/29/2021 12:59:16 PM,Yes,03/30/2021 06:27:31 PM,2021-03-29
7719196357,3/29/2021 12:59:15 PM,Yes,03/30/2021 06:28:59 PM,2021-03-29
8326302843,3/29/2021 12:59:14 PM,Yes,03/30/2021 06:30:14 PM,2021-03-29
5669216098,3/29/2021 12:59:13 PM,Yes,03/30/2021 06:32:34 PM,2021-03-29
4223847231,3/29/2021 12:59:12 PM,Yes,03/30/2021 06:33:48 PM,2021-03-29
9824944184,3/29/2021 12:59:10 PM,Yes,03/30/2021 06:35:43 PM,2021-03-29
2469245360,3/29/2021 12:59:09 PM,Yes,03/30/2021 06:37:12 PM,2021-03-29
6270094423,3/29/2021 12:59:08 PM,Yes,03/30/2021 06:38:16 PM,2021-03-29
5869864827,3/29/2021 12:59:07 PM,Yes,03/30/2021 06:41:01 PM,2021-03-29
7418888095,3/29/2021 12:59:06 PM,Yes,03/30/2021 06:48:53 PM,2021-03-29
3770074791,3/29/2021 12:59:05 PM,Yes,03/30/2021 06:50:16 PM,2021-03-29
2769605279,3/29/2021 12:59:03 PM,Yes,03/30/2021 06:51:23 PM,2021-03-29
5924205503,3/29/2021 12:59:02 PM,Yes,03/30/2021 06:52:25 PM,2021-03-29
